Entity,Code,Year,Population
Somalia,SOM,-10000,3470
Somalia,SOM,-9000,5206
Somalia,SOM,-8000,7809
Somalia,SOM,-7000,11714
Somalia,SOM,-6000,17571
Somalia,SOM,-5000,26357
Somalia,SOM,-4000,39535
Somalia,SOM,-3000,59303
Somalia,SOM,-2000,88955
Somalia,SOM,-1000,133432
Somalia,SOM,0,200149
Somalia,SOM,100,214652
Somalia,SOM,200,230207
Somalia,SOM,300,246889
Somalia,SOM,400,264779
Somalia,SOM,500,283966
Somalia,SOM,600,304544
Somalia,SOM,700,326612
Somalia,SOM,800,350280
Somalia,SOM,900,369740
Somalia,SOM,1000,389200
Somalia,SOM,1100,467040
Somalia,SOM,1200,544880
Somalia,SOM,1300,622720
Somalia,SOM,1400,700560
Somalia,SOM,1500,778400
Somalia,SOM,1600,827050
Somalia,SOM,1700,875700
Somalia,SOM,1710,886058
Somalia,SOM,1720,896416
Somalia,SOM,1730,906775
Somalia,SOM,1740,917133
Somalia,SOM,1750,927491
Somalia,SOM,1760,937850
Somalia,SOM,1770,948208
Somalia,SOM,1780,958566
Somalia,SOM,1790,968925
Somalia,SOM,1800,988951
Somalia,SOM,1801,989372
Somalia,SOM,1802,989796
Somalia,SOM,1803,990219
Somalia,SOM,1804,990642
Somalia,SOM,1805,991066
Somalia,SOM,1806,991490
Somalia,SOM,1807,991914
Somalia,SOM,1808,992338
Somalia,SOM,1809,992762
Somalia,SOM,1810,993190
Somalia,SOM,1811,993894
Somalia,SOM,1812,994879
Somalia,SOM,1813,996147
Somalia,SOM,1814,997700
Somalia,SOM,1815,999540
Somalia,SOM,1816,1001670
Somalia,SOM,1817,1004090
Somalia,SOM,1818,1006802
Somalia,SOM,1819,1009810
Somalia,SOM,1820,1013114
Somalia,SOM,1821,1019757
Somalia,SOM,1822,1026458
Somalia,SOM,1823,1039860
Somalia,SOM,1824,1053438
Somalia,SOM,1825,1067193
Somalia,SOM,1826,1081128
Somalia,SOM,1827,1095244
Somalia,SOM,1828,1109545
Somalia,SOM,1829,1124033
Somalia,SOM,1830,1138709
Somalia,SOM,1831,1153578
Somalia,SOM,1832,1168640
Somalia,SOM,1833,1183900
Somalia,SOM,1834,1199358
Somalia,SOM,1835,1215018
Somalia,SOM,1836,1230883
Somalia,SOM,1837,1246955
Somalia,SOM,1838,1263237
Somalia,SOM,1839,1279731
Somalia,SOM,1840,1296441
Somalia,SOM,1841,1313369
Somalia,SOM,1842,1330518
Somalia,SOM,1843,1347891
Somalia,SOM,1844,1365491
Somalia,SOM,1845,1383320
Somalia,SOM,1846,1401383
Somalia,SOM,1847,1419681
Somalia,SOM,1848,1438218
Somalia,SOM,1849,1453143
Somalia,SOM,1850,1464409
Somalia,SOM,1851,1471377
Somalia,SOM,1852,1474586
Somalia,SOM,1853,1473992
Somalia,SOM,1854,1473398
Somalia,SOM,1855,1472804
Somalia,SOM,1856,1472211
Somalia,SOM,1857,1471617
Somalia,SOM,1858,1471023
Somalia,SOM,1859,1470429
Somalia,SOM,1860,1469836
Somalia,SOM,1861,1469242
Somalia,SOM,1862,1468648
Somalia,SOM,1863,1468054
Somalia,SOM,1864,1467461
Somalia,SOM,1865,1466867
Somalia,SOM,1866,1466273
Somalia,SOM,1867,1465680
Somalia,SOM,1868,1465086
Somalia,SOM,1869,1464785
Somalia,SOM,1870,1464777
Somalia,SOM,1871,1465062
Somalia,SOM,1872,1465639
Somalia,SOM,1873,1466509
Somalia,SOM,1874,1467380
Somalia,SOM,1875,1468250
Somalia,SOM,1876,1469121
Somalia,SOM,1877,1469992
Somalia,SOM,1878,1470864
Somalia,SOM,1879,1471736
Somalia,SOM,1880,1472608
Somalia,SOM,1881,1473480
Somalia,SOM,1882,1474352
Somalia,SOM,1883,1475225
Somalia,SOM,1884,1476098
Somalia,SOM,1885,1476972
Somalia,SOM,1886,1477845
Somalia,SOM,1887,1478719
Somalia,SOM,1888,1479594
Somalia,SOM,1889,1481061
Somalia,SOM,1890,1483123
Somalia,SOM,1891,1485781
Somalia,SOM,1892,1489037
Somalia,SOM,1893,1492893
Somalia,SOM,1894,1496759
Somalia,SOM,1895,1500634
Somalia,SOM,1896,1504520
Somalia,SOM,1897,1508415
Somalia,SOM,1898,1512319
Somalia,SOM,1899,1516234
Somalia,SOM,1900,1520159
Somalia,SOM,1901,1524093
Somalia,SOM,1902,1528038
Somalia,SOM,1903,1531992
Somalia,SOM,1904,1535956
Somalia,SOM,1905,1539931
Somalia,SOM,1906,1543915
Somalia,SOM,1907,1547909
Somalia,SOM,1908,1551914
Somalia,SOM,1909,1555616
Somalia,SOM,1910,1559015
Somalia,SOM,1911,1562110
Somalia,SOM,1912,1564900
Somalia,SOM,1913,1567383
Somalia,SOM,1914,1569869
Somalia,SOM,1915,1572359
Somalia,SOM,1916,1574853
Somalia,SOM,1917,1577351
Somalia,SOM,1918,1580505
Somalia,SOM,1919,1586205
Somalia,SOM,1920,1594481
Somalia,SOM,1921,1605363
Somalia,SOM,1922,1618883
Somalia,SOM,1923,1635072
Somalia,SOM,1924,1651422
Somalia,SOM,1925,1667937
Somalia,SOM,1926,1684616
Somalia,SOM,1927,1701462
Somalia,SOM,1928,1718477
Somalia,SOM,1929,1734960
Somalia,SOM,1930,1750902
Somalia,SOM,1931,1766291
Somalia,SOM,1932,1781115
Somalia,SOM,1933,1795364
Somalia,SOM,1934,1809727
Somalia,SOM,1935,1824205
Somalia,SOM,1936,1838799
Somalia,SOM,1937,1853509
Somalia,SOM,1938,1868337
Somalia,SOM,1939,1885942
Somalia,SOM,1940,1906384
Somalia,SOM,1941,1929728
Somalia,SOM,1942,1956037
Somalia,SOM,1943,1985378
Somalia,SOM,1944,2015159
Somalia,SOM,1945,2045386
Somalia,SOM,1946,2076067
Somalia,SOM,1947,2107208
Somalia,SOM,1948,2138816
Somalia,SOM,1949,2174056
Somalia,SOM,1950,2213139
Somalia,SOM,1951,2276682
Somalia,SOM,1952,2340259
Somalia,SOM,1953,2403576
Somalia,SOM,1954,2467314
Somalia,SOM,1955,2532253
Somalia,SOM,1956,2598371
Somalia,SOM,1957,2665713
Somalia,SOM,1958,2733407
Somalia,SOM,1959,2803095
Somalia,SOM,1960,2876333
Somalia,SOM,1961,2952057
Somalia,SOM,1962,3030096
Somalia,SOM,1963,3110362
Somalia,SOM,1964,3192798
Somalia,SOM,1965,3277875
Somalia,SOM,1966,3365115
Somalia,SOM,1967,3454541
Somalia,SOM,1968,3546594
Somalia,SOM,1969,3641019
Somalia,SOM,1970,3738451
Somalia,SOM,1971,3837694
Somalia,SOM,1972,3939438
Somalia,SOM,1973,4045589
Somalia,SOM,1974,4151851
Somalia,SOM,1975,4257539
Somalia,SOM,1976,4365815
Somalia,SOM,1977,4484061
Somalia,SOM,1978,4814897
Somalia,SOM,1979,5449115
Somalia,SOM,1980,5936155
Somalia,SOM,1981,5982853
Somalia,SOM,1982,6003838
Somalia,SOM,1983,6198436
Somalia,SOM,1984,6428396
Somalia,SOM,1985,6693294
Somalia,SOM,1986,6974790
Somalia,SOM,1987,7228308
Somalia,SOM,1988,7235362
Somalia,SOM,1989,7114828
Somalia,SOM,1990,7082816
Somalia,SOM,1991,6813762
Somalia,SOM,1992,6495109
Somalia,SOM,1993,6681406
Somalia,SOM,1994,7026804
Somalia,SOM,1995,7285013
Somalia,SOM,1996,7554476
Somalia,SOM,1997,7824531
Somalia,SOM,1998,8155414
Somalia,SOM,1999,8492066
Somalia,SOM,2000,8838714
Somalia,SOM,2001,9198495
Somalia,SOM,2002,9550069
Somalia,SOM,2003,9909161
Somalia,SOM,2004,10281001
Somalia,SOM,2005,10644234
Somalia,SOM,2006,10975502
Somalia,SOM,2007,11322581
Somalia,SOM,2008,11663090
Somalia,SOM,2009,11961205
Somalia,SOM,2010,12261761
Somalia,SOM,2011,12348829
Somalia,SOM,2012,12461163
Somalia,SOM,2013,12869599
Somalia,SOM,2014,13339497
Somalia,SOM,2015,13806969
Somalia,SOM,2016,14348741
Somalia,SOM,2017,14916630
Somalia,SOM,2018,15452489
Somalia,SOM,2019,16030969
Somalia,SOM,2020,16651200
Somalia,SOM,2021,17271435
Somalia,SOM,2022,17801895
Somalia,SOM,2023,18358622
South Africa,ZAF,-10000,90
South Africa,ZAF,-9000,180
South Africa,ZAF,-8000,361
South Africa,ZAF,-7000,723
South Africa,ZAF,-6000,1446
South Africa,ZAF,-5000,2892
South Africa,ZAF,-4000,5784
South Africa,ZAF,-3000,11568
South Africa,ZAF,-2000,23137
South Africa,ZAF,-1000,46275
South Africa,ZAF,0,92550
South Africa,ZAF,100,102833
South Africa,ZAF,200,114259
South Africa,ZAF,300,126955
South Africa,ZAF,400,141061
South Africa,ZAF,500,156735
South Africa,ZAF,600,174150
South Africa,ZAF,700,193500
South Africa,ZAF,800,215000
South Africa,ZAF,900,236500
South Africa,ZAF,1000,258000
South Africa,ZAF,1100,309600
South Africa,ZAF,1200,361200
South Africa,ZAF,1300,412800
South Africa,ZAF,1400,464400
South Africa,ZAF,1500,516000
South Africa,ZAF,1600,602000
South Africa,ZAF,1700,860000
South Africa,ZAF,1710,843752
